Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms
Lost Dimension,28/7/2015,Lancarse,Atlus,Turn-Based Tactics,Rated T For Teen,7.8,42,PlayStation Vita
Scurge: Hive,1/11/2006,"Orbital Media, Inc.",SouthPeak Games,Action Adventure,Rated E +10 For Everyone +10,8,7,DS
Football Manager 2023,8/11/2022,Sports Interactive,Sega Europe,Soccer Management,Rated E For Everyone,6.8,67,PlayStation 5
Dragon Age: Origins - Witch Hunt,7/9/2010,BioWare,Electronic Arts,Western RPG,Rated M For Mature,5.7,40,Xbox 360
Hyper Sentinel,11/5/2018,Four5Six Pixel,Huey Games,Horizontal Shoot-'Em-Up,Rated E For Everyone,6.4,7,Nintendo Switch
Real Steel,12/10/2011,Yuke's,Yuke's,3D Fighting,Rated E +10 For Everyone +10,6.9,29,PlayStation 3
Uncharted: Golden Abyss,15/2/2012,Sony Bend,SCEA,Linear Action Adventure,Rated T For Teen,7.6,952,PlayStation Vita
Alan Wake Remastered,5/10/2021,Remedy Entertainment,Epic Games,Survival,Rated T For Teen,8,496,PlayStation 5
X2 Snowboarding,11/2/2010,X2 Games,X2 Games,Skiing,Not Rated,6.894852313,,iOS (iPhone/iPad)
Penumbra: Overture,30/3/2007,Frictional Games,Frictional Games,Survival,Rated M For Mature,7.7,200,PC
Aragami: Shadow Edition,21/2/2019,Lince Works,Merge Games,Action Adventure,Rated M For Mature,7,23,PlayStation 4
1-bit Ninja,23/6/2011,kode80 LLC,kode80 LLC,2D Platformer,Not Rated,6.894852313,,iOS (iPhone/iPad)
Psycho-Pass: Mandatory Happiness,13/9/2016,5pb,NIS America,Visual Novel,Rated T For Teen,6.7,39,PlayStation 4
The Occupation,5/3/2019,White Paper Games,Humble Games,First-Person Adventure,Rated T For Teen,4.1,18,PC
From the Abyss,26/8/2008,Sonic Powered,Aksys Games,Action RPG,Rated E For Everyone,6.6,5,DS
Earthworm Jim 2,31/5/2002,Super Empire,Majesco,2D Platformer,Rated E For Everyone,5.9,10,Game Boy Advance
Dragon Ball Z: Supersonic Warriors,22/6/2004,Cavia Inc.,Atari SA,2D Fighting,Rated T For Teen,7.2,30,Game Boy Advance
Never Give Up,13/8/2019,Massive Monster,Armor Games,2D Platformer,Rated T For Teen,8,13,PC
Etrian Odyssey 2 Untold: The Fafnir Knight,4/8/2015,Atlus,Atlus,Western RPG,Rated T For Teen,8,66,3DS
